,age,date,value
0,16-24,2019-10-01,0.0
1,16-24,2019-11-01,0.0
2,16-24,2019-12-01,-0.3999999999999986
3,16-24,2020-01-01,-0.5
4,16-24,2020-02-01,-0.7999999999999989
5,16-24,2020-03-01,-1.1999999999999993
6,16-24,2020-04-01,-1.3999999999999986
7,16-24,2020-05-01,-1.5999999999999996
8,16-24,2020-06-01,-2.299999999999999
9,16-24,2020-07-01,-2.799999999999999
10,16-24,2020-08-01,-3.299999999999999
11,16-24,2020-09-01,-3.1999999999999993
12,16-24,2020-10-01,-2.8999999999999986
13,16-24,2020-11-01,-3.0999999999999996
14,16-24,2020-12-01,-3.0
15,16-24,2021-01-01,-3.0
16,25-34,2019-10-01,0.0
17,25-34,2019-11-01,0.19999999999999973
18,25-34,2019-12-01,0.10000000000000009
19,25-34,2020-01-01,0.19999999999999973
20,25-34,2020-02-01,0.19999999999999973
21,25-34,2020-03-01,0.10000000000000009
22,25-34,2020-04-01,-0.10000000000000009
23,25-34,2020-05-01,-0.10000000000000009
24,25-34,2020-06-01,-0.20000000000000018
25,25-34,2020-07-01,-0.5
26,25-34,2020-08-01,-0.8000000000000003
27,25-34,2020-09-01,-0.8999999999999999
28,25-34,2020-10-01,-0.8000000000000003
29,25-34,2020-11-01,-0.8000000000000003
30,25-34,2020-12-01,-0.6000000000000001
31,25-34,2021-01-01,-0.30000000000000027
32,35-49,2019-10-01,0.0
33,35-49,2019-11-01,0.10000000000000009
34,35-49,2019-12-01,0.0
35,35-49,2020-01-01,0.0
36,35-49,2020-02-01,0.0
37,35-49,2020-03-01,-0.10000000000000009
38,35-49,2020-04-01,-0.10000000000000009
39,35-49,2020-05-01,0.0
40,35-49,2020-06-01,-0.20000000000000018
41,35-49,2020-07-01,-0.10000000000000009
42,35-49,2020-08-01,-0.2999999999999998
43,35-49,2020-09-01,-0.6000000000000001
44,35-49,2020-10-01,-0.8999999999999999
45,35-49,2020-11-01,-1.0
46,35-49,2020-12-01,-0.8999999999999999
47,35-49,2021-01-01,-0.8999999999999999
48,50-64,2019-10-01,0.0
49,50-64,2019-11-01,0.0
50,50-64,2019-12-01,-0.09999999999999964
51,50-64,2020-01-01,-0.2999999999999998
52,50-64,2020-02-01,-0.19999999999999973
53,50-64,2020-03-01,0.0
54,50-64,2020-04-01,0.10000000000000009
55,50-64,2020-05-01,0.0
56,50-64,2020-06-01,-0.19999999999999973
57,50-64,2020-07-01,-0.5999999999999996
58,50-64,2020-08-01,-0.8999999999999999
59,50-64,2020-09-01,-1.1999999999999997
60,50-64,2020-10-01,-1.1999999999999997
61,50-64,2020-11-01,-1.3999999999999995
62,50-64,2020-12-01,-1.2999999999999998
63,50-64,2021-01-01,-1.3999999999999995
64,65+,2019-10-01,0.0
65,65+,2019-11-01,-0.5
66,65+,2019-12-01,-0.2999999999999998
67,65+,2020-01-01,-0.2999999999999998
68,65+,2020-02-01,0.0
69,65+,2020-03-01,0.3999999999999999
70,65+,2020-04-01,0.10000000000000009
71,65+,2020-05-01,0.6000000000000001
72,65+,2020-06-01,0.30000000000000004
73,65+,2020-07-01,0.3999999999999999
74,65+,2020-08-01,-0.2999999999999998
75,65+,2020-09-01,-0.10000000000000009
76,65+,2020-10-01,-0.5
77,65+,2020-11-01,-0.2999999999999998
78,65+,2020-12-01,-0.3999999999999999
79,65+,2021-01-01,-0.3999999999999999
